# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  5 13:31:29 2024
#
# User preference: *
#
# CONSTRAINT:  order by plntname asc
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
55 Cnc e,1.5164,0.0233,0.037800,0.001600,-0.001600,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.5398,0.0237,0.040500,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.5638,0.0241,0.038800,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.5880,0.0244,0.040200,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.6126,0.0248,0.038800,0.001600,-0.001600,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.6376,0.0252,0.040400,0.001600,-0.001600,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
CoRoT-1 b,0.8600,0.1755,,,,,,,,,0.13890,0.00120,-0.00120,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,0.9800,0.1755,,,,,,,,,0.14500,0.00270,-0.00270,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.0830,0.1755,,,,,,,,,0.14480,0.00130,-0.00130,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.2590,0.1755,,,,,,,,,0.14400,0.00140,-0.00140,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
